U0,B0,3
U1,B2,4
U2,B2,4
U3,B2,3
U4,B2,3
U5,B2,3
U6,B2,4
U2,B2,2
U7,B2,1
U8,B2,3
U9,B2,2
U10,B2,1
U11,B6,3
U12,B6,3
U13,B6,2
U14,B6,4
U15,B6,3
U16,B6,4
U17,B6,3
U18,B7,4
U2,B7,3
U19,B7,3
U19,B8,3
U19,B8,3
U20,B9,4
U20,B10,2
U20,B11,3
U21,B11,1
U22,B12,4
U23,B12,3
U4,B12,4
U24,B13,2
U20,B13,2
U2,B13,3
U18,B14,2
U9,B15,1
U11,B16,3
U25,B16,3
U26,B16,4
U27,B16,4
U23,B16,3
U28,B16,4
U11,B17,5
U29,B18,5
U30,B18,4
U30,B18,4
U25,B18,5
U3,B18,4
U3,B18,5
U14,B18,4
U24,B18,4
U2,B18,5
U31,B18,4
U32,B18,4
U33,B18,4
U34,B18,4
U1,B18,4
U7,B18,3
U35,B18,5
U10,B18,4
U19,B21,3
U19,B21,3
U20,B21,3
U36,B22,5
U37,B23,4
U11,B24,4
U24,B24,3
U20,B24,5
U38,B24,5
U19,B25,3
U20,B25,3
U21,B25,4
U39,B25,3
U23,B27,5
U40,B29,1
U41,B30,4
U4,B30,4
U42,B31,3
U43,B32,2
U44,B36,4
U45,B37,3
U46,B37,2
U47,B37,4
U48,B37,3
U49,B37,3
U42,B37,4
U50,B37,3
U51,B39,4
U52,B39,3
U53,B39,4
U54,B39,4
U55,B39,5
U56,B39,3
U57,B39,5
U58,B39,5
U48,B40,3
U48,B40,4
U59,B41,3
U60,B41,1
U56,B41,4
U61,B41,4
U62,B41,5
U63,B43,2
U64,B43,3
U65,B44,4
U51,B45,3
U66,B45,3
U67,B45,5
U68,B45,2
U67,B45,2
U69,B45,4
U26,B45,3
U65,B45,3
U70,B45,4
U56,B45,3
U71,B45,4
U72,B45,3
U65,B45,3
U73,B45,3
U55,B46,3
U67,B46,3
U54,B46,4
U59,B46,4
U70,B46,4
U74,B46,4
U75,B48,4
U76,B49,4
U48,B49,4
U77,B49,3
U49,B49,3
U44,B49,4
U78,B49,5
U79,B49,4
U56,B49,4
U80,B49,4
U81,B49,4
U56,B49,3
U45,B50,4
U82,B50,4
U78,B50,4
U83,B50,5
U81,B50,5
U84,B51,3
U85,B51,4
U86,B51,4
U87,B51,5
U88,B51,3
U42,B51,3
U76,B51,3
U66,B51,2
U60,B51,4
U89,B51,4
U61,B51,4
U90,B51,2
U91,B51,4
U79,B51,4
U92,B51,3
U54,B51,3
U46,B51,2
U75,B51,2
U93,B51,4
U56,B51,4
U86,B52,4
U82,B52,4
U66,B52,2
U63,B52,3
U94,B52,3
U95,B52,3
U55,B52,4
U96,B52,5
U97,B52,4
U66,B52,3
U98,B52,4
U99,B52,4
U100,B52,3
U70,B52,4
U101,B52,4
U102,B52,4
U56,B52,4
U103,B52,5
U81,B52,5
U104,B53,3
U55,B54,4
U73,B54,3
U46,B55,4
U104,B55,3
U105,B55,4
U52,B55,4
U76,B57,5
U105,B57,3
U56,B57,4
U52,B57,4
U75,B57,5
U78,B57,4
U80,B57,5
U46,B61,4
U104,B61,4
U97,B61,5
U99,B61,4
U97,B61,5
U61,B61,4
U106,B61,4
U70,B61,4
U106,B61,4
U107,B61,3
U106,B61,2
U56,B61,5
U90,B61,5
U50,B61,5
U108,B61,5
U50,B61,5
U102,B61,3
U81,B61,4
U97,B61,5
U109,B61,4
U45,B62,4
U45,B62,4
U46,B62,4
U52,B62,2
U99,B62,3
U108,B62,3
U78,B62,3
U83,B62,3
U56,B62,3
U50,B62,3
U108,B62,3
U81,B62,4
U70,B62,4
U50,B62,3
U102,B62,3
U73,B62,4
U103,B62,1
U82,B64,1
U76,B64,3
U70,B64,3
U79,B64,3
U45,B65,3
U46,B65,4
U55,B65,4
U88,B66,4
U94,B66,4
U95,B66,4
U68,B66,2
U61,B66,4
U110,B66,4
U74,B66,4
U77,B66,4
U26,B66,2
U57,B66,3
U57,B66,4
U46,B67,2
U86,B67,5
U51,B67,4
U88,B67,5
U111,B67,5
U112,B67,3
U93,B67,4
U61,B68,3
U74,B68,4
U49,B68,3
U80,B68,3
U46,B69,1
U111,B69,2
U57,B69,1
U87,B70,4
U113,B70,3
U86,B70,4
U104,B70,3
U69,B70,3
U107,B70,1
U107,B71,3
U114,B71,4
U63,B71,5
U46,B72,3
U99,B72,5
U42,B73,3
U115,B74,5
U95,B74,3
U116,B74,2
U116,B74,3
U117,B74,4
U61,B74,4
U103,B74,4
U118,B74,4
U42,B76,4
U42,B76,4
U49,B77,2
U119,B77,3
U42,B78,4
U120,B78,5
U121,B79,3
U122,B80,3
U123,B81,4
U124,B81,3
U124,B81,3
U125,B81,3
U126,B81,3
U127,B82,3
U123,B82,3
U128,B84,2
U129,B84,4
U130,B84,2
U131,B84,2
U132,B84,4
U133,B84,4
U134,B84,3
U132,B85,4
U135,B89,4
U136,B89,2
U135,B89,2
U137,B90,4
U135,B90,1
U138,B91,4
U139,B91,4
U139,B91,3
U140,B91,3
U141,B91,4
U142,B91,4
U123,B92,4
U136,B92,4
U129,B92,2
U140,B92,2
U139,B92,4
U135,B92,1
U127,B93,3
U140,B93,3
U140,B93,4
U123,B94,4
U143,B94,3
U135,B94,2
U135,B94,1
U139,B94,4
U131,B94,2
U139,B94,2
U144,B94,3
U129,B94,1
U145,B94,1
U142,B95,2
U142,B95,3
U141,B96,3
U124,B98,1
U140,B98,2
U136,B99,2
U124,B99,2
U136,B99,3
U146,B99,3
U122,B99,4
U142,B100,5
U135,B101,1
U141,B101,2
U138,B102,3
U121,B103,2
U121,B103,4
U138,B103,2
U142,B104,4
U147,B107,3
U148,B107,4
U149,B107,3
U150,B108,3
U125,B108,4
